galaxy,Predicted,Energy_Allocated
HIPASS J1247-77,0.091346819,12.5
UGCA 15 (DDO 6),0.311391812,16.66666667
KKh 98,0.067459909,20
Horologium I,0.077045242,33.33333333
KUG 1210+301B (KK98 127),0.113941041,20
Boötes III,0.069245982,12.5
NGC 247,0.270205617,12.5
KKR 03 (KK98 230),0.358578757,20
Sagittarius II,0.108619049,14.28571429
Antlia Dwarf,0.089011436,20
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.073644413,10
Hydrus I,0.099967899,12.5
Carina II,0.061373317,12.5
ESO 540-032,0.078751206,12.5
KKH 37 (Mai 16),0.089413984,16.66666667
Segue 2,0.133492078,12.5
Large Magellanic Cloud (LMC),0.085277382,12.5
NGC 185,0.080668033,12.5
FM2000 1,0.120065947,50
UGCA 105,0.083202471,16.66666667
Segue 2,0.133778111,12.5
Sagittarius II,0.097691318,14.28571429
"Small Magellanic Cloud (SMC, NGC 292)",0.071893283,12.5
Barnard's Galaxy (NGC 6822),0.052414545,12.5
Andromeda XXVI,0.055347733,12.5
Pisces I,0.060461029,14.28571429
"Leo II Dwarf (Leo B, DDO 93)",0.054751534,11.11111111
Aquarius Dwarf Galaxy (DDO 210),0.095627054,10
Carina III,0.089483812,12.5
Coma Berenices Dwarf,0.149033772,12.5
NGC 247,0.271520079,12.5
Lacerta I (Andromeda XXXI),0.127407241,12.5
"Sextans A (92205, DDO 75)",0.138244651,20
Carina III,0.094471226,12.5
Coma Berenices Dwarf,0.135747243,12.5
Andromeda Galaxy (M31),0.360073964,12.5
NGC 247,0.2694524,12.5
Grus II,0.054539872,50
HIPASS J1247-77,0.092224209,12.5
Carina III,0.091591719,12.5
IC 5152,0.062676347,20
GR 8 (DDO 155),0.06372111,20
Cassiopeia II (Andromeda XXX),0.065065786,12.5
Pisces I,0.068269999,14.28571429
Columba I,0.074735816,11.11111111
Eridanus II,0.207556986,50
Boötes III,0.058305756,12.5
NGC 4163 (NGC 4167),0.11375111,12.5
Antlia Dwarf,0.090460846,20
HIPASS J1247-77,0.094798816,12.5
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.081672564,10
KKR 03 (KK98 230),0.354577038,20
KKh 98,0.06586686,20
Pisces V (Andromeda XVI),0.098058929,50
Sagittarius II,0.118185919,14.28571429
UGCA 438 (ESO 407-018),0.244199239,20
IC 4662 (ESO 102-14),0.061449208,20
Lacerta I (Andromeda XXXI),0.118261125,12.5
Willman 1,0.113714671,50
HIPASS J1247-77,0.091762395,12.5
NGC 185,0.080163329,12.5
IC 342,0.121983758,25
HIPASS J1247-77,0.085427818,12.5
Large Magellanic Cloud (LMC),0.082806055,12.5
NGC 185,0.087772201,12.5
NGC 4214 (UGC 7278),0.200248779,12.5
KKh 98,0.065252799,20
Pisces I,0.057036835,14.28571429
Carina II,0.062242206,12.5
KKH 11 (ZOAG G135.74-04.53),0.13013048,12.5
NGC 4163 (NGC 4167),0.128297136,12.5
KKh 086,0.055481526,20
Carina III,0.079365843,12.5
Perseus I (Andromeda XXXIII),0.088130906,12.5
NGC 247,0.26744767,12.5
NGC 4214 (UGC 7278),0.198643687,12.5
HIPASS J1247-77,0.088038288,12.5
Andromeda III,0.128113533,12.5
Antlia Dwarf,0.095187339,20
Andromeda XXIII,0.060298411,50
Pisces III (Andromeda XIII),0.107826791,12.5
Tucana II,0.13672102,12.5
Pegasus Dwarf Irregular (DDO 216),0.11158223,10
UGCA 105,0.079948046,16.66666667
"Leo A (Leo III, DDO 69)",0.063291566,12.5
UGC 9128 (DDO 187),0.070472462,20
Pisces III (Andromeda XIII),0.108383188,12.5
Maffei 2,0.322920168,50
KKH 37 (Mai 16),0.089985006,16.66666667
KKh 086,0.059777971,20
Pisces I,0.058124907,14.28571429
Pisces III (Andromeda XIII),0.108734139,12.5
UGC 4879 (VV124)[61],0.0970913,20
Pegasus Dwarf Irregular (DDO 216),0.091954113,10
Camelopardalis B,0.110402512,25
UGC 9128 (DDO 187),0.066381144,20
Hydrus I,0.099925253,12.5
KUG 1210+301B (KK98 127),0.114710109,20
Ursa Major I Dwarf (UMa I dSph),0.087924225,33.33333333
UGCA 105,0.080249444,16.66666667
ESO 410-G005,0.109064185,20
Andromeda XXI[57],0.139771285,10
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.079679768,10
UGCA 438 (ESO 407-018),0.244054671,20
NGC 2403,0.148600545,20
Leo T Dwarf,0.199342962,12.5
Carina III,0.088049697,12.5
NGC 4214 (UGC 7278),0.200118778,12.5
NGC 2366,0.066567562,50
Tucana II,0.125972562,12.5
M110 (NGC 205),0.081760553,12.5
ESO 410-G005,0.107563871,20
UGCA 86,0.108438684,50
Phoenix II,0.131733538,14.28571429
Hydrus I,0.107527496,12.5
Columba I,0.077955,11.11111111
UGC 7577 (DDO 125),0.097865963,12.5
Pegasus Dwarf Irregular (DDO 216),0.09741733,10
KKH 11 (ZOAG G135.74-04.53),0.095109095,12.5
NGC 4214 (UGC 7278),0.200012018,12.5
NGC 185,0.072238643,12.5
Coma Berenices Dwarf,0.129272562,12.5
"Leo A (Leo III, DDO 69)",0.063920223,12.5
Pisces II,0.063172537,100
Segue 2,0.128895945,12.5
NGC 1560,0.111705553,50
Camelopardalis B,0.111191735,25
GR 8 (DDO 155),0.061790741,20
NGC 55,0.118625012,20
Pegasus Dwarf Irregular (DDO 216),0.096953799,10
Coma Berenices Dwarf,0.135686963,12.5
IC 342,0.120106169,25
IC 4662 (ESO 102-14),0.061238024,20
Leo T Dwarf,0.213143441,12.5
Pegasus Dwarf Irregular (DDO 216),0.103690748,10
Andromeda XX,0.058839654,50
"Sextans A (92205, DDO 75)",0.132855304,20
Andromeda XXI[57],0.150244519,10
KKh 086,0.061182555,20
NGC 3109,0.057111361,20
Canes Venatici I Dwarf,0.129802909,12.5
Canes Venatici I Dwarf,0.130352141,12.5
DDO 99 (UGC 6817),0.099242417,50
Phoenix II,0.126434688,14.28571429
Phoenix II,0.113431643,14.28571429
Perseus I (Andromeda XXXIII),0.102728599,12.5
Pisces III (Andromeda XIII),0.105300026,12.5
Horologium I,0.075839962,33.33333333
NGC 247,0.270073003,12.5
Andromeda XXI[57],0.145366703,10
"Leo II Dwarf (Leo B, DDO 93)",0.061156147,11.11111111
NGC 185,0.081054153,12.5
UGC 9128 (DDO 187),0.070177813,20
HIPASS J1247-77,0.091820161,12.5
UGCA 276 (DDO 113),0.257453017,50
NGC 5237,0.165404718,50
Phoenix II,0.126477802,14.28571429
IC 5152,0.062884359,20
"Leo A (Leo III, DDO 69)",0.058921855,12.5
Segue 2,0.13018704,12.5
IC 4662 (ESO 102-14),0.061899041,20
Dwingeloo 1,0.131032208,12.5
NGC 404,0.077428347,50
NGC 4214 (UGC 7278),0.198211959,12.5
UGCA 438 (ESO 407-018),0.244541747,20
"Leo A (Leo III, DDO 69)",0.060796015,12.5
NGC 4163 (NGC 4167),0.124390955,12.5
Pegasus Dwarf Irregular (DDO 216),0.096614466,10
Sagittarius Dwarf Sphr SagDEG,0.084328082,50
Fornax Dwarf (E356-G04),0.14735817,11.11111111
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.087318313,10
UGCA 438 (ESO 407-018),0.243468202,20
NGC 4214 (UGC 7278),0.200358001,12.5
Pisces Dwarf,0.074455715,50
Andromeda III,0.128787518,12.5
Cas 1 (KK98 19),0.085446343,16.66666667
Andromeda III,0.138841878,12.5
Dwingeloo 1,0.13042837,12.5
"Leo A (Leo III, DDO 69)",0.0619742,12.5
Boötes III,0.064092886,12.5
"Leo A (Leo III, DDO 69)",0.059760469,12.5
NGC 4163 (NGC 4167),0.126466736,12.5
Canes Venatici I Dwarf,0.129035333,12.5
GR 8 (DDO 155),0.061895065,20
UGC 4879 (VV124)[61],0.097235674,20
Dwingeloo 1,0.127446362,12.5
ESO 410-G005,0.1189804,20
Columba I,0.069990054,11.11111111
"Holmberg II (DDO 50, UGC 4305)",0.122764082,50
Hydrus I,0.096780865,12.5
Pisces IV (Andromeda XIV),0.067405458,50
Dwingeloo 1,0.128354476,12.5
Coma Berenices Dwarf,0.150639392,12.5
ESO 410-G005,0.106765009,20
IC 5152,0.058804819,20
Coma Berenices Dwarf,0.12002388,12.5
UGC 8508 (I Zw 060),0.149330806,20
Dwingeloo 1,0.130146644,12.5
IC 342,0.119597442,25
NGC 4214 (UGC 7278),0.199559354,12.5
Andromeda XXI[57],0.150509332,10
Sagittarius II,0.108513853,14.28571429
NGC 4163 (NGC 4167),0.12454743,12.5
NGC 4163 (NGC 4167),0.109530883,12.5
"Sextans A (92205, DDO 75)",0.139006074,20
IC 4662 (ESO 102-14),0.058914362,20
KKH 37 (Mai 16),0.093281509,16.66666667
Segue 2,0.125467761,12.5
Tucana II,0.1367949,12.5
NGC 55,0.119538021,20
Andromeda XXI[57],0.15074406,10
Cassiopeia III (Andromeda XXXII),0.105365869,50
Boötes III,0.06526688,12.5
NGC 185,0.078041948,12.5
Pisces IV (Andromeda XIV),0.074045563,50
Maffei 1,0.169193041,12.5
UGCA 105,0.079981402,16.66666667
UGC 8833,0.219870069,12.5
Tucana II,0.134822415,12.5
Andromeda XXVI,0.050731653,12.5
Andromeda III,0.128669795,12.5
"Leo II Dwarf (Leo B, DDO 93)",0.057571928,11.11111111
Columba I,0.063908295,11.11111111
IC 342,0.130460424,25
Cetus Dwarf,0.247570117,50
Perseus I (Andromeda XXXIII),0.126740773,12.5
ESO 540-032,0.075240704,12.5
Andromeda III,0.137606239,12.5
NGC 4214 (UGC 7278),0.197419718,12.5
Pisces III (Andromeda XIII),0.108259663,12.5
Pegasus Dwarf Irregular (DDO 216),0.094079958,10
Cassiopeia III (Andromeda XXXII),0.1192492,50
UGC 7577 (DDO 125),0.104050079,12.5
Carina III,0.093987245,12.5
NGC 3109,0.062266639,20
HIZSS 003,0.195847197,20
NGC 3109,0.056800538,20
Tucana III,0.116781938,50
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.08210279,10
Hydrus I,0.099635081,12.5
KKH 11 (ZOAG G135.74-04.53),0.10712239,12.5
Pictor II,0.195442156,50
"Sextans A (92205, DDO 75)",0.138193353,20
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.081696323,10
Carina II,0.055744742,12.5
FM2000 1,0.130485483,50
ESO 294-010,0.220963793,20
Segue 2,0.131196051,12.5
Boötes III,0.065128829,12.5
Sagittarius II,0.10898278,14.28571429
Andromeda XX,0.055190282,50
Antlia 2,0.130079486,14.28571429
Canes Venatici I Dwarf,0.167530062,12.5
Cas 1 (KK98 19),0.089045326,16.66666667
Dwingeloo 1,0.125425721,12.5
Coma Berenices Dwarf,0.1475421,12.5
Antlia 2,0.128887517,14.28571429
NGC 5102,0.199562841,12.5
ESO 540-032,0.085377087,12.5
Ursa Minor Dwarf,0.249178741,50
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.153769328,12.5
Andromeda XXI[57],0.146182013,10
IC 4662 (ESO 102-14),0.061491234,20
Hydrus I,0.102123918,12.5
Tucana II,0.135184623,12.5
Grus I,0.072991877,33.33333333
NGC 3109,0.062310583,20
Tucana II,0.138560177,12.5
Dwingeloo 1,0.12623022,12.5
NGC 185,0.099236139,12.5
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.071566857,10
Andromeda XXVIII,0.146826477,50
M110 (NGC 205),0.081947089,12.5
"Small Magellanic Cloud (SMC, NGC 292)",0.067794186,12.5
NGC 3109,0.062499802,20
ESO 325-11,0.09489619,12.5
KKH 11 (ZOAG G135.74-04.53),0.106984255,12.5
"Sextans A (92205, DDO 75)",0.138132859,20
Columba I,0.062322827,11.11111111
Ursa Major I Dwarf (UMa I dSph),0.067192366,33.33333333
Andromeda III,0.14737617,12.5
Reticulum II,0.097919937,50
Sagittarius II,0.118269751,14.28571429
IC 5152,0.063369341,20
Antlia 2,0.132823199,14.28571429
M110 (NGC 205),0.085607436,12.5
Sagittarius II,0.100063874,14.28571429
NGC 5237,0.152531609,50
IC 5152,0.062546836,20
GR 8 (DDO 155),0.059491742,20
Boötes IV,0.211653647,100
Carina III,0.107472517,12.5
Fornax Dwarf (E356-G04),0.134080777,11.11111111
KKR 03 (KK98 230),0.359222932,20
HIZSS 003,0.166132427,20
KKh 086,0.060178151,20
Cas 1 (KK98 19),0.088293983,16.66666667
Pisces III (Andromeda XIII),0.116774158,12.5
Indus II,0.087375033,33.33333333
Perseus I (Andromeda XXXIII),0.094917295,12.5
Andromeda XXI[57],0.140781825,10
NGC 3741,0.242815661,12.5
Fornax Dwarf (E356-G04),0.14004263,11.11111111
Columba I,0.070931921,11.11111111
Pictor II,0.190111903,50
Pisces Dwarf,0.062274205,50
KKH 11 (ZOAG G135.74-04.53),0.088932839,12.5
