drop,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
10,990025,Antlia Dwarf,0.828027592,71.25642224,21431.82652,0.856275746,14.1823373,11.85618463,0.754593182,0.748314417,159.3430871,84.29772404,83.23148177,32.5491133,1142.376983,84.5114751,190.6139521,106.2581222,16.96396316,397.5139807,100.9107017,67.75966147,72.18755934,60.94539405,99.3203449,89.28143837,1.977808964,82.80297761,12.32735721,70.41408881,67.69377216,65.80930734,64.67656833,68.78528052,67.47767835,33.9621602,58.16309554,1.739608958,24.16816232,296.0867752,386.7092674,20.91800656,17.50063568,20195.66559,9282.601852,30.94151124,101.6440434,16.03323064,9.716022461,11.76018217,10.63094026,16.2357228,14.07458693,421.9003867,31.96779822,29130.70201,16195.57522,81.75964556,86.84708801,92.35147972,113.1595917,39.16321393,12.67939675,103.7186657,126222.7636,122.5011405,599.7976138,119.088057,47.32734504,6.825181245,0.804456128,0.774879853,1.107008956,130.0676882,130.1956762,15.60543689,5.680441444,-4.748343157,0.613545729,0.059471811
11,990025,IC 1613 (UGC 668),0.655813471,58.70432101,23271.83554,0.612368371,8.107780359,3.838013189,0.531765915,0.285880024,177.3292809,82.8336492,46.25420036,29.70612865,695.2170469,49.40585874,268.1526903,186.091742,16.5537839,430.7370278,72.11151597,56.83990418,61.33187397,37.73497105,104.9417166,242.9547471,2.100017411,118.4109019,9.003822791,89.74181048,73.48247493,79.62928706,43.10833051,75.73900174,74.44799607,47.78108586,55.96938768,1.46767702,18.75106326,350.9594171,405.5649192,83.17732495,69.29170496,16093.8755,6738.180424,19.47653916,116.8551678,27.61865293,15.8942434,4.742869032,5.906619704,5.506477308,6.968865484,1439.116881,123.3821663,24404.51922,12383.37901,25.64032014,82.95941307,-1000,-1000,29.91333239,7.01153897,-1000,99045.6134,62.26119685,370.6210001,83.75520634,27.2946574,6.361313392,0.545151926,0.628210493,0.858788016,201.7939616,193.0357921,18.19076926,5.221739762,24.60667145,-1000,0.048901952
12,990025,Leo P,1.068956905,90.8540921,48579.59019,1.082534669,17.45973207,13.42271438,1.053765513,0.964812585,75.26947584,122.0500719,125.5199661,31.79752275,565.4711693,93.85244387,60.23524357,34.26380006,21.38014658,238.6598466,67.63771213,83.83927807,87.6003369,80.1857732,54.3795285,47.39141878,2.529106629,40.27424757,12.81701261,25.01780561,62.9756031,61.90934208,97.3014709,79.55571638,69.620785,38.19061821,54.83117499,2.180551701,23.81074037,188.4995715,151.6512009,8.635400003,13.34057109,50706.51887,2536.488513,16.65233184,188.2289914,45.56127493,6.152937008,15.03011718,11.55876051,17.32347405,16.972985,409.9420835,9.184728563,74632.37279,47834.21782,129.5916598,250.7066391,87.24734356,125.8730575,34.54314123,10.60584287,114.2804886,120070.9944,115.0189303,198.8985576,145.4109879,110.0166632,12.58119391,1.11302368,1.071819037,1.06607377,58.89860549,36.78724682,35.63101305,5.686448956,28.92011371,0.257655021,0.178066256
13,990025,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.951549222,85.03009356,39647.2202,1.000000655,16.0007162,14.20292577,0.867767473,0.774059286,95.37779779,112.944846,122.3451794,33.84918772,933.7921671,80.52862517,59.16555329,39.55320294,25.39260119,470.1450688,11.95807014,80.90303832,87.62527174,57.61911465,49.59894802,57.77316904,2.11062435,39.56999327,13.88616416,28.41730925,69.11784442,56.86978324,87.20116364,82.99439022,65.49917346,24.35681141,54.53406006,1.877086537,25.8641898,161.9829472,248.3611494,35.07692606,25.38019553,40446.36551,7842.939039,2.673459042,182.9568253,23.09512158,3.633253637,14.83434118,12.68960047,17.40400649,16.22804408,369.0054903,32.56412917,70812.8886,34180.45933,115.5841659,192.8271479,81.00158412,92.46519773,24.48036652,10.49570981,100.7424188,103934.9432,123.4408273,145.2769492,136.7742044,76.60834573,9.293603747,1.066663917,1.021585813,1.04813801,62.56675965,57.05886012,31.4340554,3.813574342,-11.35613575,0.334821859,0.154909887
14,990025,Draco II,0.561893895,58.9122519,18747.4287,0.604680736,3.977402352,4.805283618,0.492965568,0.396193226,212.0761278,57.89842509,61.00298357,28.59232913,642.5778,45.05476082,217.9935414,173.3314281,10.39740919,521.5534263,71.00754315,56.96758761,59.73414233,102.5590833,119.1741425,195.891516,2.775760634,117.8501055,9.928463907,77.37493407,73.40959734,63.87667403,51.79120505,90.53557985,72.72181047,37.05410376,31.75275739,2.305465448,16.97869549,435.9199433,482.4973589,96.53314884,58.41675076,18291.93147,7328.180392,13.24487075,122.4445806,36.39013935,8.021748054,4.457721873,4.938294193,9.649000218,14.19002947,1791.148111,38.5413438,25638.77928,11643.66601,68.7874206,58.36844157,26.03407477,41.17952773,26.31778047,11.96781847,48.27974523,-1000,49.42697646,388.4526043,69.8291293,36.43335233,11.69388461,0.512257934,0.655528377,0.715137107,191.2408933,171.4970185,8.077268839,-1000,25.02979073,0.827037756,0.050220431
15,990025,Sagittarius II,0.900157225,87.73647844,29302.25205,0.900094985,15.75078022,12.09667763,0.896660974,0.81334431,81.6983523,120.3740824,113.2799481,34.6089404,570.1108423,95.96565275,63.12589509,43.27186058,28.0300846,340.0186693,43.22044869,78.56358544,82.97136592,82.68591478,60.94984911,136.3020314,2.068658987,39.10710166,20.58851139,36.09385312,76.83055934,73.58394448,76.30303011,69.73040255,55.7566414,49.90682161,60.89164903,1.964159476,37.65614033,189.2282979,297.3579788,18.37224501,14.54725456,33380.20112,11804.58644,11.88122149,134.7229523,25.58281833,6.165595445,11.93895823,10.95849434,16.23019854,14.00480778,306.7685976,26.05859479,36761.30835,19855.96509,115.8832474,102.6646652,87.13363516,117.1011043,29.2171526,11.79123157,89.57938243,103044.3422,116.0365523,258.4786356,129.200395,55.97200996,10.07924596,0.875034541,0.928211405,1.062334086,99.27480191,110.1090588,13.25242174,4.307926031,23.7524706,0.456285773,0.091072271
16,990025,Carina III,0.989455523,75.80005892,24891.43679,0.752551935,13.41737599,14.64198799,0.751911325,0.802375918,98.69625444,114.4671128,115.3611081,55.98067203,742.746047,96.10568832,98.10808018,63.47172118,19.61708536,608.9566989,54.41549006,74.90721185,81.62324607,72.30032953,60.02835936,80.81266335,2.949612581,68.55537141,17.4527531,61.99090289,70.86475463,60.650138,63.49157195,75.3291162,61.5987586,19.78820225,50.61118741,2.529504573,30.32991925,220.5127148,295.1204721,16.61266159,14.90694921,21339.8843,6949.630111,19.35062319,101.6365599,20.74033762,11.65515969,15.10540577,13.45788577,16.47878224,14.63804383,326.0885937,31.11432483,35054.95959,19649.64608,130.2436788,86.47185665,100.1624491,121.2259179,55.38629339,22.42397136,112.2295783,91348.13443,108.0823186,287.6355814,107.1567055,55.58724184,10.34531602,0.849541312,0.83427915,1.068017673,128.0015266,126.2988595,13.49745219,3.168970724,19.1501666,0.640869032,0.08296373
17,990025,UGCA 133 (DDO 44),0.562212554,59.06989038,17551.45551,0.638409013,8.11596325,7.409903373,0.552880077,0.488570753,171.3432735,56.62458939,43.29072559,34.56358761,175.9836731,49.60275943,234.2566472,131.0103033,17.07142761,599.3097305,32.15997639,63.23950674,59.58777347,62.72893152,115.2595527,186.5904161,3.147383207,110.5720969,11.18428794,104.1346098,100.4111561,97.03985614,36.78476824,93.75987714,93.22178099,83.93857841,55.57926761,2.356476518,20.32465245,448.483952,583.9482072,38.56883064,14.57611666,27289.45251,9052.806529,16.91763185,127.2709816,37.13851742,12.95418397,6.491444597,7.070785683,7.993612142,8.1018122,1220.450808,146.1306969,16292.87661,14052.62592,39.00414328,104.9609451,37.65264139,126.1969846,34.31661769,7.157345396,23.97503393,125453.8137,82.55932752,597.6801331,93.5117681,30.89132946,7.492984102,0.610636259,0.640217433,1.006275384,173.1428584,171.2388063,11.39427215,10.14821231,16.53409438,0.806266196,0.051880758
18,990025,Lacerta I (Andromeda XXXI),0.83121821,75.58388442,27631.4263,0.915378261,15.82359992,12.32288598,0.872506516,0.79356435,123.5298584,105.265805,125.7413439,35.03929385,677.8578909,88.76050583,112.7153843,79.98464804,20.95501833,548.5863673,53.36338807,71.06561096,83.51079359,75.7589308,67.99170692,114.4052365,2.387874431,66.51071258,14.73465073,53.19810025,82.24919987,73.8993605,71.27299627,81.84738032,80.00148265,33.75954688,59.32679666,2.315584438,29.39841243,204.9450727,463.24648,18.48068158,11.97462926,35518.88272,6549.317598,14.97005187,123.0014991,23.30121454,18.97061606,11.02767516,14.36682102,16.96414027,16.10227412,402.3225483,17.54558113,43626.57687,25456.83233,125.4034897,94.4314598,99.98159561,94.44112423,29.04897173,7.39516701,83.39278319,94735.61598,131.6291725,298.530601,114.9900646,56.81302918,5.929217882,0.874571742,0.897537598,1.093480464,98.81455763,118.0624031,3.222619427,5.750289441,27.53103817,0.569206009,0.072028871
19,990025,Boötes IV,0.83380798,70.50614332,17635.84208,0.827791666,11.88740923,8.836914569,0.61598825,0.461564819,132.1795917,115.821153,123.3014868,41.36434949,672.3400489,58.8962515,136.9619261,95.33116583,19.50605973,491.9146892,75.79026387,71.0390558,72.23917188,87.57904017,91.11526064,135.2981056,4.819630712,51.95813969,16.87603418,50.68608508,53.44938826,32.62397999,64.74479676,80.89901203,55.23327478,21.2743359,26.7323927,3.192625445,43.59248663,218.8617331,368.8192434,32.10780603,17.02397981,23362.25111,7881.639457,15.91900282,114.0882659,11.89938452,21.14792844,6.025781807,6.826281616,12.83038982,14.58300452,474.9951383,45.5593899,38169.50236,15940.0801,135.8684058,169.7840007,28.9006586,44.41937087,35.6509853,12.93662422,68.05958503,99922.64293,108.527695,244.0535922,117.9888523,43.66403715,6.949810024,0.771041693,0.863435926,0.934923899,148.4397522,124.6648569,22.62297737,5.279254384,14.63494283,0.726486438,0.058657462
20,990025,Maffei 2,0.835679156,73.61231248,22768.55602,0.598785872,10.73241915,8.106794548,0.662042503,0.585096242,196.1579402,94.2012617,56.51684888,29.12807441,821.5525422,25.58170216,108.4588412,60.73796319,14.41035494,193.7835943,66.6746294,76.10563186,76.09727118,111.3280734,106.0939734,132.6220018,1.921904565,107.1715881,7.708979903,83.50813206,77.24481676,80.25707144,46.61555458,86.89190848,82.54938005,115.3145886,53.37729204,2.106559692,19.67524526,356.6371442,447.6923646,34.62414124,16.7871642,20066.48227,8904.633014,17.75387632,141.2195479,13.51868328,9.401163599,-1000,-1000,10.1192687,8.642568118,744.3688258,76.14957101,33283.37838,14444.72133,67.86259719,51.86310854,-1000,-1000,19.84861829,8.226771213,-1000,97245.61565,106.1336162,275.162478,84.40579341,29.37743538,9.98134917,-1000,-1000,-1000,-1000,-1000,-10.76509943,-1000,21.206374,-1000,0.052894752
21,990025,KUG 1210+301B (KK98 127),0.649689029,62.80453347,16163.47536,0.469707079,11.49421925,4.416382434,0.555541399,0.433526327,148.1600128,102.4282219,57.70672952,29.21657123,611.2466742,30.55063036,199.3040071,136.7237974,17.36163097,510.2041004,49.31308326,66.47684883,65.89474033,81.46667133,117.0783232,166.3020933,2.201204142,103.6142599,8.701653402,99.08916658,96.8775485,86.63699678,30.6552977,101.3871733,95.99457871,54.35970893,43.13798235,1.376402765,18.07529153,460.1464816,485.887665,64.41903229,39.80245577,16558.0728,4233.832512,3.394834532,76.82933402,25.65619127,6.644981339,2.998359164,4.732730665,9.004713683,12.81107642,1146.854576,111.8974788,27518.99439,15986.0351,88.4146844,107.8256106,41.72268497,50.62628816,20.22576659,20.64877937,44.11324706,85992.93271,122.627726,327.6694839,52.90933248,-1000,7.088913822,0.609203045,0.673906785,0.920083488,159.1047594,159.6407573,21.67164076,3.963404863,-1000,0.826791183,0.052660477
22,990025,Andromeda V,1.116976323,90.75666917,51716.51594,0.987589689,16.30887605,11.6171244,1.074248251,0.860081841,46.00654263,121.2832694,127.3648691,43.38858515,571.251504,87.49579409,47.52850858,24.33517183,27.28764563,454.9541453,54.82626716,82.82309363,94.93379751,89.84430165,52.739046,48.80264426,2.577450788,43.29728242,9.874634006,30.44991202,73.83839042,61.06584873,84.22356819,83.11447529,72.83781663,86.92394535,52.87056578,1.84455672,23.59784756,206.3190578,219.4063947,38.00885113,9.043753699,51600.65728,5589.850788,19.1480725,37.23690835,18.94518255,11.27768676,14.32745239,12.59365511,16.51124775,15.11798783,319.5700457,41.67456991,71420.281,36688.55945,136.263826,302.0121226,108.5474093,89.3058675,43.3369332,7.925913071,80.55680058,113043.2017,121.4845716,228.5959839,114.0867033,98.25569255,12.04896416,0.991583728,1.032549588,1.086428057,53.21278835,69.96531924,23.61724637,1.646092582,26.07280023,0.343641413,0.210201649
