,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
Population using at least basic drinking-water services (%),0.049617156177252784,0.7829238672254306,0.7845918215666038,0.46029660096904285,0.7092220727586225,0.6959469189259567,0.6555121703275135,0.7872795334480411,0.7022802463415382,-0.7445786847960587,1.0,0.8177450834686687,0.09758706785275753,0.034235238113907454,0.6306257930993479,-0.8257815250640367,-0.8110167336458517,0.5583867173779331,0.010253286088539032,0.028509020411829088,0.8028740405408695,0.823513604616555,0.0013427184503948652,-0.7733670758318654,-0.6977685267869849,0.15025872335172905,-0.7664641685874282,0.15205852410984513,-0.7644112669641568,-0.35173832488930484,-0.3584329746583937,0.6947830575524288,-0.24074618603203096,-0.3359104078092233,-0.0012401510686621381,-0.013654570614010394,0.18906634118401142,0.23552503635803718,-0.7676743245765889,-0.6783140547650042,-0.646135067613967,-0.6136457023944785,0.5026561563177682,0.057673336978372104,0.07459788856123381,0.20164058348621394,0.09043638337225189,-0.3076158338888605,0.6869819504742407,0.6588081212892885,0.7439169116395113,0.6799419173178393,-0.7665502233064804,-0.6775516793659933,0.5167679409668854,0.5154081213214913,0.8280417242438117,0.378845507889372,0.6186790264881239,0.5827801316005422,-0.007185497470234189,-0.0620453565418488,0.627764256610093,0.06680869043314505,0.38116109298548173,-0.5491496390802969,0.613990143650358,0.630010383297284,0.21324254785436367,0.7910709606420009,0.8087290462196761,0.5661978338557145,-0.7270597396680598,-0.7332981506698132,0.36154563872840884,-0.3002787470468874,-0.04027177815004302,-0.6150759384544157,0.45027718221236723
Population using at least basic sanitation services (%),0.039546363319599286,0.780191221434677,0.7857536516568916,0.5070655229118718,0.7400492060738942,0.708829861248653,0.7027935753946869,0.8088681439168679,0.7344112559446545,-0.778756316060827,0.8177450834686687,1.0,0.09498602097395945,-0.011333552195962649,0.6406481210328777,-0.8147597328712238,-0.8181296374692439,0.5694363760233003,-0.02977619089634508,-0.02631545145424976,0.8008966467819959,0.8393965155100913,-0.0469507477079406,-0.7853359201702759,-0.7390696055025516,0.1450524917507646,-0.8135892518970598,0.1326904270010758,-0.7703561426859501,-0.3718270789281563,-0.3765613947332216,0.7167774794432699,-0.259458236096459,-0.3495641264537474,-0.07384662248016312,-0.08502305840385384,0.17504857694137405,0.2309959691468812,-0.7861614183862864,-0.679440142063764,-0.6475462985645891,-0.5977612286309681,0.5565361157156139,0.023834405651975872,0.09040279008761924,0.21346594458594065,0.12736019797473128,-0.22089996592581224,0.7232421176562264,0.7041637582751002,0.7470277353270639,0.6806402836719367,-0.7720384137347412,-0.7139100955862253,0.5690777898504398,0.556103207736229,0.8745935337523402,0.3996473532423427,0.6565719609548708,0.5954007452878659,0.022694936997583962,-0.06766869855859803,0.6383253089570556,0.04526447063798249,0.2986444082057555,-0.5912744769762106,0.5986644968348265,0.6575045683504724,0.21104013261365173,0.8001301812316121,0.8207631626343926,0.5533470604422249,-0.7638741122298643,-0.7753419286941223,0.3755488670892954,-0.3010752033275274,-0.018029282382057095,-0.6728754639454567,0.5009614984556351
Gross capital formation (% of GGP),0.017336092386810345,0.10591984413821492,0.10719176060061023,0.007352313333498037,0.0816667274240273,0.05170520747672399,0.09050791672334403,0.10234047892850612,0.08001723230624097,-0.041501263741798286,0.09758706785275753,0.09498602097395945,1.0,0.036522739887273815,0.10398739728113951,-0.1436687759307398,-0.11756988805202812,-0.023752162981646462,0.035820122876698876,0.03605975124550765,0.10153769309011719,0.10973905452505824,0.029191475018634942,-0.12294763198391219,-0.13119656363851218,0.024731748660697002,-0.09068075488894416,0.02857257540464196,-0.06407982416333664,-0.039637442559930326,-0.06924310527125395,0.028963160494840576,3.913255567531671e-05,-0.04298206953137563,0.028249099986068324,-0.037000818810452425,0.041748202803410454,0.02994333850048918,-0.13687623691605932,-0.0954771658799698,-0.1535672770054487,-0.1578112109101357,0.027074056851643873,0.01400230405866538,0.03210559428703078,0.1419374584331357,-0.149189395713206,-0.04028210300192055,0.1083276659868074,0.09409524345381241,0.0761287184559437,0.010748451906301457,-0.20664036308595157,-0.18558752893753183,0.03573551415808177,0.03105094022927737,0.1174057030784065,0.08469899364002625,0.07838410166240672,0.08008427024469152,0.7955104219713417,0.03775394555566858,0.08510706686218249,-0.004644462449385024,0.053300587005509915,0.016922771661360986,0.07707692598235948,0.013067305257996426,-0.11712983483010679,0.14769285469981594,0.11797529626411699,0.15955371442164304,-0.07748086046162958,-0.09132675401192102,0.2542765052575868,-0.039332409838946494,0.02276749342248098,-0.05569002283060695,-0.0235562644643319
"Population, total (millions)",0.015160618694520317,0.024555359627797663,0.02828212625964179,-0.023683523121226985,0.022216886718257823,-0.01768920977528583,-0.00043637816420176765,0.010871840592425887,-0.004798476244113151,-0.005780974102154965,0.034235238113907454,-0.011333552195962649,0.036522739887273815,1.0,-0.03422538332083348,0.006679620605406899,0.012940019269643164,0.010549890993254927,0.9031024846961743,0.8924027823368536,0.02221233747354648,0.024868054285530922,0.8946038233263934,-0.06765452463634693,-0.050181453178439236,-0.027652995296178512,0.033320967975001156,-0.06854189696998204,0.03217124894820967,-0.001193011715382467,-0.0021602011678216967,-0.046487855480494555,0.02984243590023818,0.02701835932271635,0.024341899483008928,-0.014259543001317355,-0.03404110725131557,-0.052273837294756466,-0.03535905542771256,-0.037080550703250253,0.009659602298565355,0.014495834835290485,-0.0123156646787322,0.8942260102751718,-0.019804519962439184,-0.07853442876391943,0.007506054282763255,-0.05352308416189577,-0.0028093443632595362,0.004864452376018606,-0.03307162424309706,-0.004283974609978457,0.00023471949253602538,-0.04818647941326652,-0.01218649942391562,-0.0028344679727561714,0.037136196651630246,0.12504870829430192,-0.008726519321388189,0.035133301257875685,0.023312124885018146,-0.06108462749132606,0.02792400625286072,0.8689639245727905,0.023150700559410282,-0.014320918311439279,-0.03775182876875863,-0.02302103515595442,0.0841850149993595,0.014336511940106579,0.03157774162569186,-0.006174419725828506,-0.0041946134083593834,-0.0012794599145386832,0.03165506006662127,-0.05065131772935241,-0.022866982848761035,0.001025263942919853,-0.04344334124750489
"Population, urban (%)",0.05699664239017097,0.6222950100770008,0.6322505040174834,0.587308623475449,0.7349974217365862,0.6152482894763092,0.5712459015055724,0.7052481057027007,0.6158291389952458,-0.7042893072655887,0.6306257930993479,0.6406481210328777,0.10398739728113951,-0.03422538332083348,1.0,-0.5954230344850439,-0.6078369366441048,0.4774439863074553,-0.02941044904746184,-0.025816839775463486,0.6511751268152052,0.6602360040095807,-0.05223576934206786,-0.6388773125024021,-0.484082990406477,0.16620651909937736,-0.7212775061717441,0.10730972547095083,-0.7514605956313063,-0.25797607873376344,-0.2790229066882275,0.7665415634838788,-0.19731247015412556,-0.2588662054832514,-0.05825146441144996,-0.0354698188586204,0.15470392398135804,0.161096139876519,-0.6012336406279344,-0.5666964151236029,-0.4033841571768565,-0.37086047779231246,0.6346132642429138,0.03036277131976144,0.15333181244555502,0.21751127374723944,0.1774200756196057,-0.08257565427365426,0.6044151480770485,0.5813884670784348,0.6587795282178047,0.634167690097874,-0.5389909444536465,-0.5911372507930449,0.6272382617186908,0.6146484054783539,0.6089655203448671,0.38936118787234003,0.5202681922087966,0.49951741197966165,0.03298757888392685,-0.21837162508070287,0.5149165371381919,0.03596047934024634,0.17115148002786582,-0.4239654271587563,0.5516845680451415,0.6249316335813792,0.21613720484889135,0.7168238360107347,0.7434315969739432,0.45813559131562615,-0.7039221835128374,-0.7171323453910803,0.21261037950562556,-0.2507534882887823,-0.041756984716966414,-0.5563484496153179,0.5053139602201426
"Mortality rate, under-five (per 1,000 live births)",-0.129296423456342,-0.8452759275310718,-0.8433361961890428,-0.46502351406389997,-0.715509744816931,-0.7432107665050582,-0.6966435573201358,-0.815753193218403,-0.7439361120425751,0.743416778230844,-0.8257815250640367,-0.8147597328712238,-0.1436687759307398,0.006679620605406899,-0.5954230344850439,1.0,0.9448527187308837,-0.5527826493856874,0.022721523176479626,0.006207155299103466,-0.8663988236401376,-0.9029190932245276,0.04373214140926426,0.79229930379494,0.7920163611345009,-0.12392460093183555,0.7948902586326202,-0.1716398641171321,0.7523333715550038,0.3350143293011128,0.32990103727035575,-0.7006348893841382,0.24026922479058963,0.3278610453427436,-0.021325894914844035,0.004834567792135354,-0.16019828725815446,-0.2578509440464441,0.8150258701038796,0.7037209481098162,0.7053671151314034,0.6930258096614705,-0.5044366747327049,-0.017390003233951516,-0.09379512096789341,-0.24312045701904303,-0.13432430998123682,0.30323275555418494,-0.7263042088378722,-0.7030414012826947,-0.7813046210738989,-0.7100533523508504,0.8724067902529474,0.6869598144624269,-0.5215288237984439,-0.5174318072314735,-0.8215009902516871,-0.3740368452811534,-0.628861430114381,-0.5945916187010708,-0.0642669888114971,0.04598041060256124,-0.6363934092076085,-0.03882194759396555,-0.4677118245145819,0.4969036879095542,-0.6172510822860748,-0.6369221526777177,-0.2035325083316187,-0.8246282693810236,-0.8165624552511088,-0.6266967606682651,0.7434041993839567,0.7476138198393961,-0.3973297948337844,0.2658779990063414,0.03936936566289684,0.6495250758834505,-0.46038246909203956
"Mortality rate, infant (per 1,000 live births)",-0.1368830224481494,-0.8545656087389375,-0.8512201419359268,-0.49681475247105467,-0.7348335512523576,-0.7556588819148577,-0.7037112882610381,-0.8256430394929681,-0.754792049721586,0.7694530913811956,-0.8110167336458517,-0.8181296374692439,-0.11756988805202812,0.012940019269643164,-0.6078369366441048,0.9448527187308837,1.0,-0.5890299909144158,0.023787530977643422,0.012935202213304636,-0.8799934201543679,-0.9129289800854001,0.04972487726754287,0.7933841765770897,0.7756760181523162,-0.1174119337449092,0.801967681778328,-0.1435031282885596,0.7709075730504827,0.2922659229194818,0.2844558353120653,-0.7195028746658331,0.22328291684976312,0.2822575409297621,-0.014452437011637134,-0.05701676458026099,-0.1535767894256039,-0.2288361386634309,0.8228780126781131,0.7227824679198462,0.6998350195701243,0.6928091986433647,-0.5339208462005186,-0.019594933300019258,-0.10512863421440564,-0.24207290602110462,-0.1575157727082286,0.3041667975394128,-0.7323219030683713,-0.6982778723904223,-0.7973116921503219,-0.7206277186119933,0.8568512631056588,0.6721752461812962,-0.5508730132758776,-0.5562462892555712,-0.8152423366916094,-0.41296727825625346,-0.6280957151180139,-0.590774545429946,-0.040919716605305266,0.06646537467622805,-0.6283021824564864,-0.03648922338444608,-0.4230605911857984,0.5521450754800497,-0.6299882924586615,-0.6763150286124948,-0.24119387757580293,-0.8314279889473191,-0.8183761218251313,-0.6317885884919732,0.7683190522781984,0.7689564117051891,-0.37408938872715725,0.2784536394044088,0.03211242856485752,0.6703115119802525,-0.508534858533912
Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),0.036903539624541015,0.5895423035389076,0.5935633337954235,0.33273209558547157,0.5377376674383668,0.6295757046121887,0.6374819315462984,0.6474087838538403,0.6649402334607356,-0.6830063437831831,0.5583867173779331,0.5694363760233003,-0.023752162981646462,0.010549890993254927,0.4774439863074553,-0.5527826493856874,-0.5890299909144158,1.0,-0.012951689058678204,0.020340550520131825,0.6035882603395146,0.6443887565079728,-0.03151713207523656,-0.7279738196059048,-0.5759568674855868,-0.19818458275261272,-0.556061073938152,0.14247394312196957,-0.5296011750803437,-0.20758608465454598,0.0035509584820369623,0.5165991048955979,-0.4291117637936479,-0.21578779170865936,0.05543196890604542,0.32053794346854203,-0.21305019461829675,0.19202839920080567,-0.5496229730894685,-0.4526341428738547,-0.3557471036522446,-0.36058828408891663,0.37990252489669996,0.06810839063922969,0.13683504011268832,0.09041712923836485,0.33845156181434893,-0.35196911260608815,0.6479089217929547,0.6658256698477907,0.6406971500073713,0.6499351239723585,-0.46956299904236026,-0.36537479000951173,0.35686093558224874,0.515367577292451,0.5583838952406901,0.5135044301587369,0.599077536647934,0.6097005110656873,-0.059289265687550566,-0.14386374930534923,0.5836688775765247,0.08376881791725399,0.14086496951369903,-0.3963118902346246,0.45606149626443643,0.6914272009181431,0.5068228928150601,0.6720242852131734,0.6499656040068275,0.4970841726172474,-0.7035300450650019,-0.6824587596060545,0.09954896039554939,-0.2526575594163776,-0.043313169798792246,-0.7525556383084004,0.735462861862467
"Population, ages 15–64 (millions)",0.011483255692607152,0.013591762030990441,0.010979686973911567,-0.020883858330802876,0.024431805175888794,-0.03125032636225781,-0.012627684250001315,-0.003957563684182898,-0.019922989646073783,0.0032103590606797757,0.010253286088539032,-0.02977619089634508,0.035820122876698876,0.9031024846961743,-0.02941044904746184,0.022721523176479626,0.023787530977643422,-0.012951689058678204,1.0,0.8996777637389752,0.0097358077746035,0.004635201591981987,0.8988380180313348,-0.06153372303204274,-0.046945545559838694,-0.0017545879563335611,0.0497599631780813,-0.06116059746948025,0.03769108905684808,0.013498585477889354,0.009834768870355101,-0.049847039843085514,0.04392804051763277,0.04165949200148492,-0.005583477557296141,-0.0035984943812061745,-0.009961751279837776,-0.04319132711623414,-0.0204359811423534,-0.02663490054787967,0.01661573433369812,0.0192144089571948,-0.014446794384213726,0.9040865835626849,-0.03496775960436279,-0.0929084120411889,-0.006453848596587932,-0.05245661818623168,-0.0181812564605805,-0.01044462276737617,-0.05310810365574365,-0.03187610285432351,0.010854523616232556,-0.04161280665257009,-0.010183507419969434,-0.0028880303798457505,0.019677571484055727,0.13891228522740556,-0.01296386446181072,0.029871969215599058,0.040808464417623334,-0.07452540212201568,0.02008788741596642,0.8732767042290912,0.013032826670283337,0.008211871834787025,-0.0471394755832372,-0.029052942448218693,0.07083158342663191,-0.003473351628624977,0.01724263993262397,-0.01598105280452899,0.004698032655795997,0.005917329697223917,0.04109342321806391,-0.03632521601009191,0.0008940420048838973,0.009942776290760092,-0.059285364315566434
"Population, ages 65 and older (millions)",0.037377269513875086,0.03592930596226272,0.031500265536433716,-0.026454894482546874,0.030328682915928593,-0.003124800774150609,0.01393191506584958,0.020233720818108335,0.01186195591270652,-0.007404129703046618,0.028509020411829088,-0.02631545145424976,0.03605975124550765,0.8924027823368536,-0.025816839775463486,0.006207155299103466,0.012935202213304636,0.020340550520131825,0.8996777637389752,1.0,0.02884673555908945,0.024647826663480674,0.8866534775874444,-0.07460004855192968,-0.05528429265803261,-0.029124361489628853,0.03810703714463612,-0.0813925039180067,0.019964586620848834,-0.0020422186543939216,0.0006399853850276591,-0.03158280552015414,0.02691842231604156,0.03596788913998479,0.025017901054680023,0.004536381424052407,-0.024296746259723393,-0.06753212452314948,-0.04370938041127802,-0.04475977701288788,-0.003025406959514904,0.00951812570860437,-0.01638787269239609,0.8968973879211336,-0.03911362777271769,-0.09083606357933086,0.007744977214141356,-0.05025855452246132,0.014823914682900076,0.013729860659210589,-0.027135225776177694,0.007041643179147406,0.002778251801994434,-0.05530615201429024,-0.011834214066933163,-0.005486279466345093,0.02853144466562509,0.15270704754625083,0.0015920947576550512,0.04235349019966174,0.03981499496066126,-0.08471714080899771,0.039074509330796856,0.8657264617886086,0.036778973850188974,0.013551924448856698,-0.018298649604515566,-0.019335448711767206,0.10735798173238333,0.014828025119560953,0.04020109870653493,-0.007239173328909398,-0.012203887319406146,-0.010994445445089698,0.0346982494598111,-0.03443997586043612,0.02211609787405645,-0.006000088482494271,-0.029166164832367378
"Life expectancy at birth, male (galactic years)",0.11503082499702189,0.8998663239007224,0.9009506999261389,0.5427670383968674,0.7420412071590026,0.7213718751798255,0.6524027150844979,0.83002558647172,0.7057128679196831,-0.7832301835605525,0.8028740405408695,0.8008966467819959,0.10153769309011719,0.02221233747354648,0.6511751268152052,-0.8663988236401376,-0.8799934201543679,0.6035882603395146,0.0097358077746035,0.02884673555908945,1.0,0.9316732254685404,-0.015277316482352353,-0.7845641534266227,-0.7488558764932826,0.14550865210567637,-0.7499137923994065,0.024970971701917644,-0.7555186764641556,-0.3126694431447363,-0.3267233974982776,0.7280781367902798,-0.1812831070960874,-0.25672608085041954,-0.0161458251419972,-0.05411440239737936,0.15487265600018357,0.12185764146119082,-0.9042678296785506,-0.8847682056679693,-0.6007895485424113,-0.5842044324384585,0.5884604519194788,0.0502400670995649,0.12925626013473515,0.22707247887223356,0.156258308394597,-0.26206852877788245,0.6824415351079065,0.6593505255311081,0.7568725025684078,0.7197394112849949,-0.8001826849429582,-0.6499617841344167,0.6038208882580511,0.6029103746257237,0.8193179360057082,0.4841418607593389,0.593519460768667,0.5601325311567157,0.033159610366005315,-0.11944014046271695,0.5931101463401426,0.06707961391962898,0.344840838931568,-0.6709430908334728,0.6041483017088757,0.7216078953580213,0.25975677093673544,0.8263055173661569,0.8617149202826829,0.4838204011500207,-0.7771120120503272,-0.8122360851911006,0.3532880133555285,-0.4661740782743282,-0.04049702511954538,-0.6944269943140292,0.5909106562148073
"Life expectancy at birth, female (galactic years)",0.10215842639924437,0.9055255386644682,0.9040487870072021,0.5023207102770918,0.7409794288746339,0.7457155131156421,0.7022934775535249,0.8479711587918195,0.7483729795517975,-0.801046502491591,0.823513604616555,0.8393965155100913,0.10973905452505824,0.024868054285530922,0.6602360040095807,-0.9029190932245276,-0.9129289800854001,0.6443887565079728,0.004635201591981987,0.024647826663480674,0.9316732254685404,1.0,-0.018410850618423607,-0.8347934209381549,-0.7722795885596067,0.10467997823136467,-0.789050811295738,0.07508386958896174,-0.7735284950076207,-0.31662649507202595,-0.310925109227676,0.7347136073444206,-0.21829410259564444,-0.2785841122946635,-0.014436522209708586,0.017709197541394266,0.12975244311826778,0.1642130639702853,-0.9177394047347274,-0.8187584775256054,-0.6596066245276356,-0.6331194417375005,0.5512672599184769,0.05660224941117893,0.112004138481343,0.21553647315659474,0.17659031645859444,-0.31245371786873505,0.7372896791952689,0.714031669541149,0.791817157175843,0.735351537349472,-0.8416886295647038,-0.6818303680909263,0.5663096333448442,0.5726540186663368,0.8593999588678382,0.4708032638562211,0.6501209255748905,0.6154773429058203,0.027013132325335375,-0.09974494959324552,0.645052071995696,0.069029128086105,0.3687529798518816,-0.6306280906517527,0.6173742396437498,0.7104942250129835,0.2760236936234462,0.8503735220416352,0.8598992249006427,0.5820066826832261,-0.7999445118811003,-0.8126744354389347,0.3588896945777861,-0.43427723808200575,-0.03523607811007712,-0.7161043496869165,0.5733839674105048
"Population, under age 5 (millions)",0.0040269258889273005,-0.01142684111023071,-0.010477970434921947,-0.04069637011693309,0.002601078954488561,-0.0479487409301903,-0.027303066647230395,-0.0223452485439917,-0.03359424489380292,0.024979264930829016,0.0013427184503948652,-0.0469507477079406,0.029191475018634942,0.8946038233263934,-0.05223576934206786,0.04373214140926426,0.04972487726754287,-0.03151713207523656,0.8988380180313348,0.8866534775874444,-0.015277316482352353,-0.018410850618423607,1.0,-0.02851554926617653,-0.012276515670569277,-0.012043428523784969,0.07477826711346187,-0.0746969296424629,0.06085824692058158,0.01795785106778034,0.0037419807975100673,-0.064945361334712,0.06453196687536972,0.044259648708857874,0.0169121354144543,-0.02312549039173138,-0.00619184556779048,-0.06359857472223887,0.007215928161016764,-0.0030585218731377854,0.02717626272033403,0.034531507057884006,-0.031623237563602476,0.8929687836491355,-0.030740054809055183,-0.08332501713249835,0.00018892257089327797,-0.026655931393712754,-0.03319172897348751,-0.030540724140575834,-0.06511325093122473,-0.039457169566544145,0.0270970801791503,-0.022674173073599677,-0.034623809291105485,-0.025155574081240306,0.0018613229981997682,0.1221288780649146,-0.04283958245442853,-0.0018385926489578959,0.0377848408640454,-0.06977452159323973,-0.008563891681879578,0.8621458062963905,0.020001773772557567,0.032602750984443436,-0.06469832572875778,-0.05483909046151708,0.051094781592368105,-0.02517210311296906,-0.0027894947753355735,-0.032426734890064736,0.03227485171089592,0.02310429683304445,0.03698658712845042,-0.013993882400708983,0.0004474960477130037,0.035989918457124015,-0.06009765187932742
Young age (0-14) dependency ratio (per 100 creatures ages 15-64),-0.10890683814209126,-0.772530495816521,-0.7757901243427505,-0.5393612891002658,-0.7425802891525525,-0.7345213549740832,-0.7460615854848797,-0.8176410025476841,-0.7683116109611935,0.7994585523773985,-0.7733670758318654,-0.7853359201702759,-0.12294763198391219,-0.06765452463634693,-0.6388773125024021,0.79229930379494,0.7933841765770897,-0.7279738196059048,-0.06153372303204274,-0.07460004855192968,-0.7845641534266227,-0.8347934209381549,-0.02851554926617653,1.0,0.7812298194809019,-0.06703476356579019,0.7498644230535866,-0.11475923057929699,0.7166270661579278,0.21686025051175803,0.14067007417503263,-0.658200982127571,0.3081778640201994,0.2129098906399223,1.0686208992393921e-05,-0.16256761625268196,-0.054607299715122924,-0.20335661433234647,0.7623294757937087,0.6397720071246157,0.589656386263866,0.5467644359653676,-0.5979985861097016,-0.09948614023000009,-0.1407714463659841,-0.2524231766289158,-0.21452049219528765,0.28962712942410984,-0.7766806736561666,-0.763326635151232,-0.7704655638318945,-0.719495790567707,0.7090931646823397,0.638591753486765,-0.5921002001263262,-0.6219286444518175,-0.7941301620265936,-0.49121196495524777,-0.717469130185737,-0.6959950171741008,-0.06713838267791586,0.14603762244256976,-0.7037357798459256,-0.11615497690161389,-0.28357033487499295,0.47215211025998477,-0.6455213850217845,-0.7462460142874191,-0.2743123389186896,-0.8381457997664963,-0.8205402297732509,-0.6463615568480209,0.8153121397363834,0.8076454988315642,-0.3391216539574868,0.3140062770795134,0.05146507065502075,0.7803410557587424,-0.6009378567745733
"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",-0.07778556627882202,-0.7268966623809632,-0.7288101741617459,-0.4594282788756219,-0.640021596499146,-0.6568133513361372,-0.6534589369640674,-0.7274521070589264,-0.6821740212367212,0.6961404258332615,-0.6977685267869849,-0.7390696055025516,-0.13119656363851218,-0.050181453178439236,-0.484082990406477,0.7920163611345009,0.7756760181523162,-0.5759568674855868,-0.046945545559838694,-0.05528429265803261,-0.7488558764932826,-0.7722795885596067,-0.012276515670569277,0.7812298194809019,1.0,-0.062116942723272894,0.6872001774251242,-0.0953662747301797,0.6411189225589841,0.3016744355684268,0.25027484487682883,-0.5664993818581392,0.2908007627345373,0.27957756233450487,0.11389949553756484,-0.0024944976840279376,-0.06727102950826491,-0.16159319002146688,0.735465068504424,0.6591621860275392,0.6083767201687794,0.6040337670756898,-0.5065931241233993,-0.06785673328682633,-0.08979085127230134,-0.22910025828305805,-0.15726032941040233,0.2605815693362855,-0.6860487051010701,-0.6897392916623211,-0.6814647477079766,-0.6238960176824396,0.7417134997665847,0.6544139371553728,-0.5243176170805312,-0.5289899222879593,-0.7662037483043401,-0.4331350236618072,-0.6091664568983002,-0.5969790595656079,-0.09661019893828099,0.024794084804384938,-0.6311137743157624,-0.10190709086711151,-0.31980799877423455,0.39217766434239687,-0.5248395250449465,-0.6312902858829459,-0.21597970502784605,-0.7312395795453052,-0.7355449322937015,-0.5128842026855375,0.6875902444710061,0.727443808500728,-0.39330345940358985,0.2760900156243588,0.03841016607037782,0.701559456996594,-0.5366633204463487
Total unemployment rate (female to male ratio),0.02402933908855918,0.1266101433030815,0.12355449922532034,0.31497817443855397,0.19555511279650062,0.058387865896896186,-0.01804584295613434,0.11631549180667777,0.0073064340694040655,-0.09777043581651851,0.15025872335172905,0.1450524917507646,0.024731748660697002,-0.027652995296178512,0.16620651909937736,-0.12392460093183555,-0.1174119337449092,-0.19818458275261272,-0.0017545879563335611,-0.029124361489628853,0.14550865210567637,0.10467997823136467,-0.012043428523784969,-0.06703476356579019,-0.062116942723272894,1.0,-0.1766477635526942,-0.08046131210487446,-0.20065636226110203,0.01401728273811875,-0.20796702604494777,0.13838452355881706,0.21600896434235564,0.02965533940239167,-0.16339809414469444,-0.32803638695871495,0.8418496646264524,-0.032563188560583725,-0.12906143693548647,-0.1893113719783333,-0.10107423186144537,-0.08205768850517912,0.3187265459605123,-0.02309552190289257,-0.042147151869402,0.06209735204253666,-0.12368946575620034,0.08761234225915207,0.008046841345662263,-0.04964755953992024,0.06872898538695923,-0.0007191591848242668,-0.11079992641208393,-0.17859366314030672,0.33770251512724664,0.1563865986786746,0.14133068859696277,-0.008671769673266029,-0.03653337964683372,-0.06279022397992372,-0.031474300752159345,0.017830520627026437,-0.02983971039964498,-0.00490924067450959,0.053783439103971514,-0.10276537204164031,0.14441088550999726,0.04945091998804322,-0.1874491932280828,0.08961183763435192,0.1126611113369732,0.0391014832346111,-0.07015610547524757,-0.11044860857455914,0.1394453116266033,-0.060102332849793806,0.031961762879641836,0.07158745906992006,-0.10832279173416341
